id	name
1140	THE CHESTNUTS
1141	LAVENDER COTTAGE
1142	UNIT 6B
1143	UNIT B1
1144	141A
1145	3E
1146	29C
1147	FLAT 301
1148	FORMER 4
1149	CARETAKERS HOUSE
1150	FLAT 302
1151	134A
1152	140A
1153	THE OLD MILL
1154	37-39
1155	BURNSIDE
1156	THE DAIRY
1157	ROOM D
1158	THE SMITHY
1159	14D
1160	28C
1161	PLOT 113
1162	FLAT 205
1163	ROSEBANK
1164	FOURTH FLOOR FLAT
1165	GLEBE COTTAGE
1166	WHITE LODGE
1167	FORMER 6
1168	142A
1169	FERN COTTAGE
1170	GREENFIELDS
1171	10-11
1172	APARTMENT 32
1173	CONIFERS
1174	ORCHARD VIEW
1175	THE GATEHOUSE
1176	GREEN ACRES
1177	UNIT A1
1178	31C
1179	TENNIS COURTS
1180	38-40
1181	FORMER
1182	PROSPECT HOUSE
1183	39-41
1184	FLAT 123
1185	LOCK UP 1
1186	ROCK COTTAGE
1187	41-43
1188	GROUND FLOOR OFFICE
1189	PLOT 114
1190	THE BIRCHES
1191	2F4
1192	145A
1193	FLAT B GROUND FLOOR
1194	THE WORKSHOP
1195	HAWTHORNS
1196	GARAGE 31
1197	GROUND AND FIRST FLOOR
1198	PUBLIC HOUSE
1199	CHERRY TREES
1200	STONE COTTAGE
1201	FLAT 2/4
1202	1F4
1203	75B
1204	76B
1205	FLAT 117
1206	APARTMENT 33
1207	FLAT 303
1208	THE OLD SMITHY
1209	FLAT 1/4
1210	FLAT 124
1211	THE HAYLOFT
1212	ADJACENT
1213	CROSSWAYS
1214	PLOT 115
1215	SCHOOL BUNGALOW
1216	WOODBINE COTTAGE
1217	OFFICE 6
1218	UNITS 2 AND 3
1219	LOCK UP 2
1220	LYNDALE
1221	147A
1222	PLAYING FIELDS
1223	WEST COTTAGE
1224	FLAT 118
1225	GLEBE FARM
1226	WILLOW HOUSE
1227	FORMER 5
1228	HIGHFIELD HOUSE
1229	OAK LODGE
1230	FERNDALE
1231	42-44
1232	FLAT 1 GROUND FLOOR
1233	GARAGE NO 4
1234	PLOT 116
1235	STORES
1236	YEW TREE HOUSE
1237	36-38
1238	PLOT 117
1239	SALES OFFICE
1240	BROOKFIELD
1241	PLOT 118
1242	FORMER FLAT 3
1243	GARAGE 32
1244	APARTMENT 34
1245	UNIT B2
1246	FLAT G/1
1247	THE OLD FARMHOUSE
1248	BELMONT
1249	OAKLEIGH
1250	THE OLD COTTAGE
1251	15D
1252	FLAT 206
1253	FLAT FIRST FLOOR A
1254	PLOT 119
1255	43-45
1256	PARK COTTAGE
1257	BYWAYS
1258	FAIR VIEW
1259	UNIT 36
1260	UNIT 9A
1261	1-4
1262	3F4
1263	77B
1264	WINDY RIDGE
1265	SUITE 7
1266	THE MANOR HOUSE
1267	CARAVAN 3
1268	FLAT L
1269	30C
1270	BEDSIT 2
1271	144A
1272	UNIT 2C
1273	79B
1274	80B
1275	FLAT 125
1276	BEDSIT 1
1277	PLOT 120
1278	149A
1279	FLAT 304
1280	APARTMENT 35
1281	ROOM 16
1282	CORNERWAYS
1283	UNIT A2
1284	CROFT HOUSE
1285	THE MILL HOUSE
1286	FORMER 8
1287	46-48
1288	146A
1289	32C
1290	DWELLING
1291	HIGH VIEW
1292	ROSEDENE
1293	78B
1294	FLAT 126
1295	LODGE FARM
1296	GARAGE 33
1297	LOCK UP 3
1298	33C
1299	FLAT 3-1
1300	HIGHLANDS
1301	4E
1302	LAND ADJACENT 1
1303	PLOT 121
1304	RESTAURANT
1305	THE WOODLANDS
1306	40-42
1307	HILL COTTAGE
1308	MILL FARM
1309	MULBERRY HOUSE
1310	WELL COTTAGE
1311	THE GROVE
1312	UNIT J
1313	STAFF FLAT
1314	WOODSTOCK
1315	WOODSIDE COTTAGE
1316	151A
1317	FLAT 3B
1318	FLAT 2 FIRST FLOOR
1319	FORMER 7
1320	WOODVIEW
1321	PART SECOND FLOOR
1322	PLOT 122
1323	2-1
1324	37C
1325	APARTMENT 36
1326	153A
1327	PLOT 123
1328	16D
1329	BEDSIT 3
1330	154A
1331	FLAT FIRST FLOOR B
1332	PLOT 124
1333	THE CHAPEL
1334	THE OLD GRANARY
1335	FLAT 5A
1336	LABURNUM COTTAGE
1337	THE GARDEN HOUSE
1338	36C
1339	GARAGE NO 5
1340	RECYCLING SITE
1341	FORMER 10
1342	UNIT 12A
1343	NEW COTTAGES
1344	PLOT 125
1345	FIRST FLOOR FLAT A
1346	FLAT 119
1347	2-6
1348	45-47
1349	GLENDALE
1350	GROUND AND FIRST FLOOR FLAT
1351	13-14
1352	2-2
1353	5E
1354	159A
1355	BEECHCROFT
1356	GARAGE 34
1357	UNIT 37
1358	BARN CONVERSION
1359	FLAT 120
1360	ROOM 17
1361	THE GARAGE
1362	SUITE 8
1363	UNIT 10A
1364	WINDYRIDGE
1365	APARTMENT 37
1366	DENTAL SURGERY
